review,label
"Bagi saya shopee sangat membantu dalam kesibukan saya stiap ingin belanja cukup ketik aja di shopee dan semua barang yang saya pesan selalu tiba tepat waktu dan barang sesuai dengan pesanan, semoga shopee semakin sukses makasih shopee.",Positif
"Bagus , kualitas Original, No ribet , Trims Zalora..😊🤩👍👍",Positif
"lazada emang aplikasi belanja online paling top seindonesia, banyak promo, pengiriman super cepat, dan kalau ada masalah saat transaksi selalu ngasih solusi terbaik buat kedua belah pihak(seller/buyer) biar gak ada yg merasa sangat di rugikan satu sama lain beda sama aplikasi ijo yg pengirimannya selalu saja bermasalah entah pesanan tiba2 di retur sepihak oleh kurir atau kendala yg lainnya dan bukan solusi yg di berikan malah di suruh nunggu lebih lama lagi..",Positif
Selama pake aplikasi belanja online Zalora semuanya aman aja. Ga ada kendala apapun. Barang ga sesuai bisa dikembalikan. Pokoknya puaslah. Sering-sering kasih cashback donk.,Positif
"saya sangat suka dg aplikasi ini, pasang iklan gratis, dan bnyak juga kebutuhan lain nya disini",Positif
"Mudah dan tentunya vouchernya sangat menarik dan bermanfaat dalam berbelanja.Semoga ke depannya aplikasi belanja LAZADA ini semakin meningkatkan kenyamanan bagi penggunanya,terima kasih,wassalaam.",Positif
Tokopedia adalah rekomendasi olshop alternatif satu satunya yg masih lengkap menjual produk tersebut karena di toko lain tidak ada. Terima kasih tokopedia sangat membantu kebutuhan orang dewasa.,Positif
"Bagus banget buat kalian yg mager kemana mana,tapi tolong kurangi lag nya dan suka lemot pas loading padahal jaringan bagus,itu aja sih,sehat sehat aja lah buat Semua karyawan,costumer service,dll",Positif
"Barang ditunggu sekian lama , akhirnya datang,semoga dlm hal pengiriman tdk ada masalah lg,semoga kedepn lebih baik",Positif
Semua barang aman & original 100% pengiriman nya cepat juga 🌟🌟🌟🌟🌟,Positif
"Sy sangat terbantu dengan adanya aplikasi OLX ini, karna jangkauannya luas, dan aplikasi sudah terkenal, banyak org berbisnis dan konsumen yg mencari kebutuhanya di OLX ini...Sehingga bisnis sy sangat terbantu..tq OLX",Positif
"Makin kesini kog lemot, beda sama sebelah yang warna nya ijo, desain user interface nya ,userfriendly,milenial, keren dan aplikasi nya cepat, mohon ditingkatkan kualitas aplikasi nya supaya tidak tertinggal sama sebelah. Saya sebagai pengguna Bukalapak cukup kecewa :(",Positif
sejauh ini pengalaman belanja terbaik dengan blibli,Positif
"Lazada sudah tidak bisa bersahabat lagi coba, fitur bayar di tempat sy di non aktifkan pdhl saya TK pernah ingkar malah kurir ninja van yang sering tak mau antar orderan saya ke rumah hingga mengembalikan keseler dgn alasan alamat tk sesuai. Tapi tidak masalah Masih ada Shope yang membantu",Positif
Untuk aplikasi nya sih bagus yah min tapi mohon lah di tingkatkan lebih baik lagi dan minimal bisa paylater 12 untuk pengguna baru nya yah min,Positif
"aplikasinya makin mudah dipake. makin friendly UInya. yg dri dulu suka sma ni platform adl selalu ada notif setiap perkembangan proses pengiriman. jdi buyer gaperlu was2. buat program serbu seru juga paling mudah teknisnya dibanding platform laennya, pengembalian uang klo masih meleset juga cepet banget (yg di sebelah pake nunggu, galangsung dibalikin), jdi bisa ikutan lagi di next serbu, good job! minusnya yaa voucher gratis ongkir gabisa digabung sma voucher lainnya. di sebelah bisa digabung.",Positif
Pembelanjaan lewat shopee memang sangat luar biasa pelayanan cepat kalau ada masalah keterlambatan pasti segera diselesaikannya.pokoknya shopee sangat bagus sekali,Positif
"Aplikasi sangat bagus, belanja di sini juga sangat puas, tapi layanan spinjam sangat tidak memuaskan, pengajuan pinjaman harus menunggu sangat lama tidak seperti aplikasi yg lain",Positif
"mudah dan simpel, banyakin lagi bonus vouchernya & tingkatkan terus proses pengiriman estimasinya akurat ke tempat tujuan",Positif
"Enak bro, jadi kurir dari pada ngojek, soal nya penghasilan udah tetap.kerja santai dan tidak banyak pikiran.sedangkan ngojek hasil nya tidak tentu, kadang dapat 100rb sehari, kadang 50, kadang cuma 10rb.itu juga start dari subuh sampai magrib.pokoknya capai bro ngojek itu.capainya banyak nunggu.semoga lazada bisa meningkatkan lapangan kerja, terutama menjadikan kurir amanah dan profesional dalam segala bidang",Positif
"Bagus juga untuk pelayanan nya,cepat responnya,cuma sayang pembayaran cod nya ga bisa di kota Sukabumi",Positif
mantap Saya pelanggan baru pertama pesan barang respon Nya cepat' barang nya pun sesuai pesanan.👍 ini saya lagi pesan yg ke 2 muda mudahan amanah.....👍👍👍👍👍,Positif
Sangat membantu mencari barang second sesuai budget yg ada.,Positif
"Expedisi jasa pengiriman si Cepat Halusinasi lama banget ke Kalimantan Selatan sudah 5 hari belum sampai, padahal sudah Reguler, coba saja Tokopedia ini bekerja sama dengan J&T dan JNE pasti pengiriman nya cepat paling 2 / 3 hari sudah sampai, mengingat aku sering berbelanja di Shopee dan TikTok Shop pengiriman nya cepat bangeet pake jasa J&T Express Reguler 2 / 3 hari sudah sampai. Kinerja jasa pengiriman nya ok bangeet. Cobalah Tokopedia ganti jasa pengiriman nya jangan si CEPAT. Please 🙏",Positif
",banyak penggunanya,mudah kita pasang iklannya dan cepat di publikasikan",Positif
"produknya bagus, sesuai dengan pict",Positif
Belanja branded jadi lebih mudah dengan zalora,Positif
"Akhirnya jodoh juga sama Zalora. Pengalaman belanja pertama yang menyenangkan. Prosesnya mudah, sampai lumayan cepat, diprosesnya aja yang lama. Program returnya juga mudah dan gratis ongkir, tapi gk perlu retur karena produk yang dikirim bagus2 dan sesuai.",Positif
Ruang publik yang sangat membantu Sangat mudah dalam pengoperasiannya,Positif
Sangat memuaskan Lebih pariatif pilihan nya,Positif
"Sangat memuaskan menggunakan aplikasi shopee ,belanja dengan mudah dengan gratis ongkir ,mungkin lebih di tingkatkan kak di aplikasi settingan nya untuk mode gelap nya 😁",Positif
"Performa bugnya di perbaiki lagi, kadang suka loading dan lama ke bukanya walaupun sinyalnya bagus dan jaringan 4G,, di rutinkan lagi untuk pemeliharaan aplikasi agar lebih baik, dan nyaman untuk berbelanja,,, karena kalau begini terus customer lama2 gak nyaman dengan performa aplikasi yang menjadi kurang lancar, terimakasih",Positif
"Sangat bagus aplikasi ini. Dimana terdapat beberapa fitur di dalam nya yg memberikan pembelajaran serta bisa mengedukasi pola pikir yang salah menjadi benar, dan menjadi paham betul akan gagasan pikiran yg mau di uturakan atau disampaikan.",Positif
"belanja d Lazada menyenangkan. selain barang yg bagus2, kurirnya Rama, pengiriman nya jg cepat. sukses buat lazada & buat yg belanja juga 🫰",Positif
Sangat terbantu dengan aplikasi ini. Sayangnya banyak pembeli yang buang-buang waktu dengan membahas hal yang tidak perlu. Padahal sudah ada di deskripsi. Baik harga maupun keterangan. Semoga pembeli nya lebih rajin membaca cerdas. Penjual lebih jujur dan cerdas.,Positif
"Senang belanja dilazada,banyak promo,bisa berhemat karna banyak harga yg terjangkau,bisa belanja dgn mudah,pokoknya terimakasih lazada",Positif
"Belanja di Blibli jadi lebih aman karena dapat voucher gratis ongkir, harga produk juga terjangkau.",Positif
Aplikasi yg sangat bagus mempermudah ruang usaha makasih admin semoga sukses selalu,Positif
Cukup membantu namun sekarang ada limit tertentu jika ingin iklan di naikan,Positif
pokoknya mantap belanja di blibli,Positif
"sangat senang sekali belanja di zalora..produk asli,dan cepat pengirimannya..selalu puas. thanks zalora..kl bisa ada menu utk mereview/produknya..dan ada menu pnerimaan barang.tp sampai dgn saat ini sangat puas..",Positif
"Saya sangat senang menggunakan aplikasi Shopee belanja sesuai pesenan Dan sangat""senang banget belanja online di Shopee Semoga makin banyak voucher deh kalau belanja di Shopee 🥰🫶",Positif
"Sangat mudah untuk menjual apa saja yang saya ingin jual, prosesnya pun sangat mudah. Kalau mau jual di OLX aja gan.",Positif
"Dgn apk ini sy sgt terbantu sekali utk berbelanja tanpa hrs keluar rumah dan ada gratis ongkir nya pula..pokoknya sy merasa sagat puas. ""Tks.",Positif
Mudah di gunakan tapi tidak ada pilihan untuk produk 21+ seperti alat vape yang tidak bsa di buka di aplikasi ini.. Tingkatkan lagi ya.. Biar ga ribet hrus bka lwat web..,Positif
sangat mudah 😊 dan sangat baik aplikasinya. Semoga ditokped lebih baik dan ditingkatkan lagi kualitas layanannya🙏🏻 Dari jenis barang yg dijual disini lebih berkualitas,Positif
Aplikasi yg sangat bermanfaat sekali untuk menjual dan membeli barang barang bekas maupun baru sesuai dengan budget yang ada,Positif
"Tayangan cepat, banyak pelanggan tapi sayangnya harus melalui agen tdk bisa langsung olx",Positif
jual beli barang paling nyaman dan gampang hny di OLX rekomen bgt bro.,Positif
Aplikasi ini sangat memudahkan kita bertransaksi jual beli . Semoga terus menjadi aplikasi yg bermanfaat,Positif
aplikasinya bagus dan mudah di gunakan utk belanja online karena fitur didalamnya lumayan komplit.. keamanan lumayan terjamin dan bertransaksi juga mudah dan banyak pilihannya.. cuman masalah ongkir lumayan mahal bila di bandingkan dengan aplikasi belanja online lainnya.. kita selaku customer berharap masalah ongkir bisa lebih murah lagi..! Misalnya klo barang kurang dari 1kg janganlah dimasukkan dengan harga ongkir untuk 1 kg.. itu aza sih,Positif
"yang pasti bisa dipercaya kan original dan pengirimannya, pilihan pembayaran nya juga beragam. lebih banyak diskon lebih bagus",Positif
"Masih banyak ruang untuk peningkatan dan perbaikan fasilitas. Namun untuk saat ini, blibli sudah sangat oke dalam pencarian barang, promo, apalagi gratis ongkirnya itu lho! Oiya, satu paling penting: jaminan keamanan transaksi dan retur gratis ongkir yang terjamin. Saya sudah mengalami saat dimana pengembalian sepertinya susah dengan merchant yang nakal.. Tapi ternyata masih bisa di blibli. Harga kompetitif, gratis ongkir, jaminan keamanan transaksi dan retur, serta cs yang ramah dan membantu banget. Top blibli, salut",Positif
Sangat membantu untuk melihat harga pasaran mobil,Positif
"Untuk saat ini si lumayan lncar klw beli online di sini.smog lebih nymn lagi belnja d Sini,lebih meningkat lagi ke canggihnya,lebih bagus dari yg sebelah...",Positif
Bagus sekali cocok buat jual beli Walau app kadang suka bug,Positif
"sangat membantu utk menjual brg walaupun blm laku,tp setidaknya sdh ada yg menghubungi.tks olx Gazzz💥",Positif
"selalu mudah dimanapun dan kapanpun, semoga semakin banyak juga promonya, makasih blibli",Positif
Membantu sekali cari barang dan kebutuhan bekas berkualitas.juga bisa kita menjual barang yang ingin dijual.,Positif
Sangat Suka sekali dengan semua pelayanan sangat membantu untuk membeli barang brand kualitas asli bagus dan pengiriman cepat bisa dicicil pakai kredivo,Positif
"sangat membantu aplikasi nya,selalu beli di buka lapak,selama ini tepat waktu,dan lancar saja pengiriman nya ,hanya kadang kurang lengkap aja ,nyari barang tertentu tidak ada",Positif
Makasih banyak min atas pelayanan nya yang bagus. Dan merasa puas memakainya. Tp knapa ya. Voucher gratis ongkirnya gak bisa dipakai.,Positif
Sangat membantu dan cepat respon nya. Itu yang kami semua inginkan. Dan cepat pengiriman nya. Serta kurirnya sangat asyik dan humoris ramah juga. Sukses selalu,Positif
"Mudah banyak pilihan dari segala merk dari segala produk , ya walaupun satu dua ada juga toko yg tak amanah dan terkadang ada juga keterlambatan pengiriman itulah suka dukanya belanja melalui hp..😑",Positif
"Terimakasih lazada, yg selalu menemaniku dalam berbelanja, dan makasih atas vocher nya, bonusnya,, dan bebas ongkir,,, saran saya agar merekrut kurir yg amanah. agar berbelanja secara online, selalu menyenangkan.......",Positif
"Suka banget sama aplikasinya. Produknya yang bermacam-macam buat kita sangat nyaman karena banyak pilihan. Penjualnya juga ramah2. Selain banyak pilihan produk, belanja di blibli lebih hemat. Pokoknya rekomended banget buat orang-orang yang ingin menghemat.",Positif
"Sangat membantu sdh banyak kali transaksi baik ,emjual ,aupun membeli lewat plx",Positif
"Aplikasinya sangat membantu dan mudah untuk cari barang, harganya juga standar apalagi ada voucher diskon dan cashback. Ada juga official storenya jadi engga perlu khawatir kalo barangnya kw. Selain itu juga banyak pilihan produknya dan pokoknya belanja di blibli trusted...",Positif
"Tolong olx keamanan nya di tingkat kan lg , saya menjual mobil tapi banyak modus baru menanyakan mobil untuk kantor dll , fto mobil di salahgunakan mereka up di sosial media lain dan menipu orang",Positif
Mantap aplikasi yg cukup membantu mempertahankan penjual & pembeli... Semoga ke depannya semakin oke... Tingkatkan terus Pelayanan Serta Kemudahan x tq OLX...,Positif
"Apps jual beli paling simple dan bebas dan gratis, mantap",Positif
"aplikasi nya bagus buat belaja online, jadi mempermudah ga perlu keluar rumah lagi kalo mau belaja terus harga nya murah meriah di karenakan sering dapet potongan gratis ongkir sama diskon 😍",Positif
mantabbb cepat dan sangat mudah pembayarannya sukses sllu blibi,Positif
"Aplikasi nya lumayan membantu..Harga barang yg di tawarkan di lazada murah , standar rata2..cm dr pengalaman saya utk ongkir dan gratis ongkir yg di tawarkan semakinnaik dan semakin mahal..di banding dahulu dan di banding apk market sebelah😔😔😔 ,,,,di tambah lg setelah update jd agak berat loading ny...",Positif
"Terima kasih BUKALAPAK, Aplikasinya mudah di akses, bagus, lengkap dan bermanfaat, di dalamnya ada semua yg kita butuhkan, penggunaan Promo nya juga Mudah & Lancar. Hanya saja Ongkirnya masih terlalu tinggi di bandingkan marketplace sebelah walaupun sudah ada potongan, saat ini saya belanja 95% via Marketplace, Disarankan bisa lebih sederhana lagi khusus ongkirnya.",Positif
"bagus, hanya saja untuk fitur yang gratis sampai 80hari atau 7hari alangkah baiknya gratis saja , krn konsumwn blm tentu pasti beli , terimakasih",Positif
